Date,Open,High,Low,Close,Volume,Change
2011_5_9_,35.54,37.93,35.54,37.11,0.28K,3.56%
2011_5_8_,35.66,36.048,35.248,35.835,-,1.56%
2011_5_6_,34.82,36.325,33.535,35.283,0.48K,-2.62%
2011_5_5_,39.215,39.52,34.44,36.231,0.96K,-8.00%
2011_5_4_,41.5,42.255,38.98,39.383,0.99K,-7.50%
2011_5_3_,43.895,45.445,40.845,42.576,1.68K,-7.60%
2011_5_2_,47.97,48.085,42.19,46.078,3.94K,5.33%
2011_5_1_,48.093,48.163,42.228,43.745,-,-9.96%
2011_4_29_,48.46,49.19,47.54,48.584,3.98K,2.24%
2011_4_28_,47.825,49.52,47.245,47.52,40.53K,3.39%
2011_4_27_,45.24,45.895,44.895,45.964,0.03K,2.01%
2011_4_26_,46.11,46.145,44.76,45.058,0.08K,-4.44%
2011_4_25_,47.235,49.105,45.935,47.151,0.08K,-1.23%
2011_4_24_,47.3,47.785,47.238,47.738,-,2.40%
2011_4_22_,46.62,46.62,46.62,46.62,-,1.21%
2011_4_21_,45.12,46.27,45.09,46.062,0.06K,3.59%
2011_4_20_,44.6,45.32,44.6,44.465,0.07K,1.24%
2011_4_19_,43.055,43.24,43.055,43.919,0.01K,2.24%
2011_4_18_,42.94,42.94,42.75,42.957,0.03K,-0.73%
2011_4_17_,43.07,43.317,43.065,43.273,-,1.66%
2011_4_15_,42.5,42.805,42.5,42.566,0.01K,2.17%
2011_4_14_,41.235,41.85,40.74,41.661,0.02K,3.54%
2011_4_13_,40.21,40.705,40.21,40.235,0.01K,0.44%
2011_4_12_,40.26,40.775,39.9,40.058,0.02K,-1.34%
2011_4_11_,40.97,41.725,39.835,40.604,0.02K,-1.46%
2011_4_10_,40.99,41.238,40.925,41.207,-,1.50%
