Date,Open,High,Low,Close,Volume,Change
2014_11_20_,1191.8,1191.9,1190.7,1190.7,-,-0.24%
2014_11_19_,1196.5,1198.3,1190,1193.6,0.02K,-0.26%
2014_11_18_,1197.1,1197.1,1193.9,1196.7,-,1.16%
2014_11_17_,1183.1,1186.9,1180.6,1183,0.02K,-0.17%
2014_11_14_,1155.2,1191,1148,1185,0.49K,2.06%
2014_11_13_,1163.7,1164.5,1155,1161.1,1.05K,0.19%
2014_11_12_,1162.5,1168.1,1157.5,1158.9,0.02K,-0.34%
2014_11_11_,1155,1170.5,1151.6,1162.8,0.02K,0.28%
2014_11_10_,1171,1171,1150.7,1159.6,0.04K,-0.85%
2014_11_7_,1139.9,1169.7,1132.9,1169.6,0.10K,2.39%
2014_11_6_,1141.1,1147.5,1137.9,1142.3,0.14K,-0.27%
2014_11_5_,1168.1,1168.7,1137.8,1145.4,0.16K,-1.88%
2014_11_4_,1166.9,1171,1165,1167.4,0.04K,-0.17%
2014_11_3_,1166.4,1172.3,1163.1,1169.4,0.06K,-0.15%
2014_10_31_,1199.6,1199.7,1161.4,1171.1,0.26K,-2.25%
2014_10_30_,1213.7,1214.7,1195.8,1198.1,0.52K,-2.14%
2014_10_29_,1224.3,1224.3,1224.3,1224.3,131.45K,-0.40%
2014_10_28_,1224.9,1231,1224.7,1229.2,0.05K,0.01%
2014_10_27_,1230.2,1230.2,1227.3,1229.1,0.28K,-0.17%
2014_10_24_,1229.4,1232.7,1229.4,1231.2,0.07K,0.22%
2014_10_23_,1228,1228,1227.9,1228.5,-,-1.31%
2014_10_22_,1244.8,1244.8,1244.3,1244.8,-,-0.50%
2014_10_21_,1251,1251,1251,1251,0.05K,0.56%
2014_10_20_,1237.3,1244,1235.4,1244,0.11K,0.46%
2014_10_17_,1237.4,1237.5,1232.6,1238.3,0.36K,-0.18%
2014_10_16_,1242.1,1243,1236.7,1240.5,0.01K,-0.29%
2014_10_15_,1243.7,1247,1230.9,1244.1,0.25K,0.85%
2014_10_14_,1235.9,1235.9,1235.8,1233.6,0.07K,0.35%
2014_10_13_,1229.8,1234,1227,1229.3,0.10K,0.68%
2014_10_10_,1223.5,1223.5,1217,1221,0.19K,-0.29%
2014_10_9_,1223.9,1229,1223.9,1224.6,0.02K,1.60%
2014_10_8_,1210.2,1217.9,1207,1205.3,0.01K,-0.53%
2014_10_7_,1209.1,1210.8,1205.3,1211.7,0.27K,0.41%
2014_10_6_,1187.7,1208,1182.8,1206.7,0.42K,1.22%
2014_10_3_,1212.4,1212.4,1191,1192.2,0.50K,-1.81%
2014_10_2_,1215.3,1219.5,1210.3,1214.2,0.18K,-0.03%
2014_10_1_,1207.7,1217.8,1205.5,1214.6,0.18K,0.34%
2014_9_30_,1214.8,1218.2,1204,1210.5,0.68K,-0.57%
2014_9_29_,1216.3,1222.2,1214.7,1217.5,6.34K,0.28%
2014_9_26_,1214.1,1214.1,1214.1,1214.1,-,-0.58%
2014_9_25_,1209.5,1216.1,1209.5,1221.2,0.01K,0.21%
2014_9_24_,1216.8,1216.8,1216.8,1218.6,-,-0.20%
2014_9_23_,1221,1221,1221,1221,0.01K,0.35%
2014_9_22_,1214.9,1214.9,1212.4,1216.8,0.01K,0.12%
2014_9_19_,1218.3,1218.3,1218.3,1215.3,-,-0.85%
2014_9_18_,1216.2,1220.4,1216.2,1225.7,0.01K,-0.70%
2014_9_17_,1236.2,1236.2,1221.9,1234.4,0.01K,-0.06%
2014_9_16_,1238.3,1238.3,1235.9,1235.2,-,0.13%
2014_9_15_,1226.7,1235,1226.7,1233.6,0.02K,0.30%
2014_9_12_,1227,1227,1227,1229.9,0.05K,-0.61%
2014_9_11_,1237.4,1237.4,1237.4,1237.4,160.68K,-0.49%
2014_9_10_,1256.7,1256.7,1243.5,1243.5,0.10K,-0.26%
2014_9_9_,1246.8,1246.8,1246.8,1246.8,128.25K,-0.47%
2014_9_8_,1268.4,1268.4,1262.2,1252.7,-,-1.03%
2014_9_5_,1263.2,1268.1,1263.2,1265.8,0.12K,0.06%
2014_9_4_,1268.7,1272.7,1260.3,1265.1,0.29K,-0.30%
2014_9_3_,1266.3,1271.1,1263.1,1268.9,0.28K,0.41%
2014_9_2_,1284.5,1286.4,1262.5,1263.7,0.28K,-1.84%
2014_9_1_,1287.6,1290.9,1285.9,1287.4,-,-0.02%
2014_8_31_,1288.5,1289,1286.8,1287.7,-,0.15%
2014_8_29_,1289.5,1289.7,1284.8,1285.8,0.12K,-0.23%
2014_8_28_,1284.5,1293.7,1284.3,1288.7,0.82K,0.53%
2014_8_27_,1281.5,1282.3,1281.5,1281.9,0.04K,-0.15%
2014_8_26_,1289.4,1289.5,1281.1,1283.8,0.07K,0.51%
2014_8_25_,1277.3,1277.6,1273.7,1277.3,0.25K,-0.10%
2014_8_22_,1276,1280,1275,1278.6,0.12K,0.38%
2014_8_21_,1290,1290,1272,1273.7,0.26K,-1.52%
2014_8_20_,1295.4,1295.8,1288.4,1293.4,0.33K,-0.13%
2014_8_19_,1298.8,1301.7,1294,1295.1,0.14K,-0.20%
2014_8_18_,1301.4,1302.1,1295.7,1297.7,0.10K,-0.52%
2014_8_15_,1311.7,1312.8,1292,1304.5,0.20K,-0.72%
2014_8_14_,1311.8,1316.4,1309.7,1313.9,0.32K,0.08%
2014_8_13_,1308.8,1312.6,1305,1312.8,0.24K,0.31%
2014_8_12_,1306.2,1315.8,1305.8,1308.8,0.44K,0.02%
